CREATE_2D
19
-45994 83141 -47519 99654 -81413 895 54132 24509 16754 34409 -42855 -8883 -85471 -88351 52553 -46073 44029 72286 -57234 
98975 -99812 78886 96952 -37741 92154 -88067 -27333 -65185 -81553 -65797 -7020 -37542 92888 -16667 -72249 47671 -78024 99392 
-82705 98244 -25597 -73025 43162 -63089 -72796 -36305 68982 -23145 -71356 982 13952 -97311 3889 -99823 -2601 -86305 44903 
-18372 76495 -43359 38661 -2789 -76028 -47991 -90605 49785 98506 64064 -67246 -3879 -58608 -6154 59198 -61155 -52386 -35006 
96280 -14795 10672 9555 61462 -7065 -44345 -67854 93627 -34936 -1420 -88038 13997 87855 -72605 -22153 75032 -85003 -11790 
15469 -73207 -21040 -77320 -48461 -21172 12643 87111 55260 75623 -32973 -57360 55677 80390 32109 -84587 6307 -69237 68514 
-44469 55343 -7390 34160 14520 -51216 -81016 -30301 9364 89712 -86557 18221 -58802 60195 75233 -70325 -76906 15226 -53480 
-70040 98986 -94001 8275 15530 21512 6098 88499 -82844 81662 62244 -82824 -75132 70178 -49316 13650 -34510 -74521 39988 
78731 10775 3414 -66128 24149 17897 54554 16652 23189 -91473 -31854 48795 -85486 -19192 -14536 36744 95557 -9757 37416 
61896 -54804 53637 -11984 38760 96805 5195 -1794 51360 -83795 96726 54128 40221 -39778 45276 18455 2752 12780 -26057 
-68521 -72161 93652 -23395 52361 -20950 68872 63570 -9317 -88101 842 -64054 -66295 15293 -75537 98791 15940 95425 81005 
2911 -84527 73295 -43706 -80414 -27991 -47889 35651 -65400 15281 -93429 78959 -53013 18692 -20921 -73894 75077 30305 12251 
41558 -25137 41548 -89237 43633 60309 10549 -97730 -23473 -19086 17812 63367 51542 -50890 70588 -53979 -16143 -31114 -38887 
-93353 53751 -51788 41437 23443 -75499 94292 -88455 29642 19125 -2413 -48323 50001 -70365 -40783 -99980 63614 711 -33949 
-19611 -55132 40469 -24356 -87924 -94078 45435 85973 39623 -32806 5934 8801 -49409 68661 -90248 70399 -85627 17555 32567 
-66594 65663 23783 -55904 64285 -81406 40918 -1918 31922 2315 3633 99428 57316 12474 63684 38763 -53498 38522 44175 
23020 -7175 -18085 94357 61418 25214 62341 -32284 -68221 24599 37149 18923 55183 -98303 71924 -89724 -25444 6149 -21654 
78235 25260 -39077 9022 17575 62882 6343 34866 -12301 -52288 -91451 14725 -2546 -57223 78479 92930 71522 60290 29146 
-92644 32981 -38045 18835 28682 -93496 18219 -77290 -99162 7193 -26073 53917 -61308 -11837 -54753 85387 -53419 -62396 -31611 
DISPLAY_2D
INVERSION_2D
SORT_2D ascending
CLOSEST_2D
587
12718 7866
8203 -68324
-50317 64206
-42474 -28436
82028 -97297
-54801 -22510
3270 16153
13369 32669
-1820 41323
91122 41370
11598 78811
-23414 -10622
16950 97810
49960 30779
-69282 -32904
55058 60557
-50466 79061
-99767 17495
51000 -76206
-52086 9332
98271 -63477
30583 79801
32327 -43686
-54444 -92280
-39291 -53029
-63349 -33885
43530 59291
-57222 -89047
-54283 -3679
3341 66648
-66459 83801
55570 -26597
-24771 -94320
91096 20086
-86381 17185
75823 30792
85007 89611
7008 -69288
-40158 88263
-46614 70668
28056 -19788
-43142 -11058
5995 -26547
-81065 56205
-55760 47498
-32366 28766
49188 65195
-52388 34152
72269 79286
62291 60032
-17396 -27328
-82315 -21890
-79765 -31916
66081 83604
97101 -86717
-79614 63119
-56318 -15174
-20974 -36410
61332 -58495
-41317 20921
64379 43066
-96765 -88110
78843 -40406
58228 47745
17806 -45432
-14749 -51282
5716 -49346
-67684 71105
-59779 27593
80723 -30997
51628 -47488
-3984 -61885
26505 60977
39309 -90175
-97164 32589
-11896 38252
-55997 35215
-41207 22622
-92278 -90879
-21584 20722
95056 -98264
32960 -83047
-37230 95148
51111 -82844
80559 84086
21992 12886
-94769 -68520
-42956 56589
24849 26870
69714 -83206
-65968 2013
-51948 -73862
-16289 -72089
56395 -35636
43065 74840
-70166 77431
-66576 -2388
22950 49207
-90133 -29938
-28662 -8944
97969 -48725
-48415 27442
11272 39867
-57744 -59310
-94423 -37222
3582 -87307
89005 -22923
-75848 -95571
-80898 -51439
84414 -4285
-5617 43964
76409 -4426
98164 -91470
82559 50231
2490 66392
-47215 63004
-71834 -6047
16106 -16362
9625 -51582
48749 83622
37302 22972
-66063 -93109
-25910 -40106
25292 81841
-56856 -7031
88521 -81167
56859 28096
-40519 53965
52037 -80233
-4602 4985
38103 -69673
84731 -57289
776 -83573
-81366 -30029
-17092 67296
-42859 -24022
-81212 -76722
95302 -89408
-16165 49075
67330 17810
54072 -53574
55991 -63915
-57680 -31725
74234 83523
93824 80838
7774 44835
97208 -26505
-37702 -49668
-70660 -56950
45110 -62723
6767 80579
33534 -74162
-58183 -54963
-59743 3294
90081 -69613
24647 -1088
44314 61820
-19186 47422
36413 77222
41524 65880
96373 -19171
-54271 -18681
52060 48695
-32889 -17343
-65202 -48632
86060 5271
-10137 -94158
51550 94727
-77252 -62229
-62210 -42759
80505 68465
3571 -48976
-13093 48652
21692 26637
26041 -97864
64354 40510
11156 -92909
76149 -28890
-25747 -50220
45610 17362
-65501 -91516
80159 -48045
89848 -28796
-54815 88745
-55858 64612
-19075 29603
74907 -30997
-27680 -40484
78058 -22303
69534 76567
81632 58231
-61240 -3577
48597 -31309
-6438 70366
-39143 -49144
38670 59849
81878 55679
-93945 17495
-63979 -67553
27538 70903
5547 -15636
87750 30816
31445 -73547
72376 63898
19167 -8478
-62432 -55047
-80166 39530
-57616 80634
-14724 46555
-19140 94106
-51315 69351
-2740 -26573
-841 65955
-85169 -67974
-60733 68835
-58234 54525
92041 -3990
-13580 24876
-72141 -39526
52868 -40890
-49434 -64789
71082 44864
87503 -29624
4027 58511
10643 85591
-19275 88955
17617 -37151
-94367 -34296
30692 86951
71444 -78810
-38125 39553
-40901 8177
-8579 55234
-55534 -76020
13317 -49001
76246 7228
57050 79877
53932 93378
48803 -62254
-57122 6305
75160 97324
36707 -19602
-83316 -23984
98052 98115
45604 61817
4425 960
-33017 -26032
-5224 -93116
18166 81105
-23276 59914
84277 -51435
-81472 74439
-22707 -43586
91809 16756
-61549 54805
-44130 60393
-40 16140
-33975 -92614
-86608 -90489
-46941 73166
97182 19341
10388 3601
-9074 46301
-88097 -54381
89549 -38482
24852 -9556
6203 -65139
-11605 55613
-37427 15596
-68985 -578
29883 94786
-99581 -67476
20420 -41212
66933 -33601
-4764 1578
-53844 34861
41003 66191
32826 -66314
-35160 48082
-50592 59502
11488 -9243
-72102 -76541
15701 -76603
98880 -82389
-5669 -91431
92880 88466
44612 -26359
-90286 72493
30896 -96884
-71619 -57123
91975 37735
38105 7160
-50017 115
-62042 29555
-17046 95004
-13569 -99342
-7765 58761
91281 51551
-44991 80545
-9508 -27061
-80061 31228
64503 -60841
-47354 -24871
20236 31054
9425 -25885
-88708 -28602
-27377 -92420
-3886 -33964
358 -60967
-72122 -96627
33536 -18815
-53373 99495
51412 72259
52900 21721
99663 6314
44305 17635
-54073 63797
22538 -22973
50541 -87514
42392 76872
6781 -5682
85355 -48378
4567 12679
-9946 -31500
-53903 -73837
-80244 -3729
-50961 -90038
78608 80845
-58283 221
37902 24049
23558 -48850
88759 29770
-82630 14930
-46609 2237
65067 88898
6602 -5773
94672 -22348
-30372 -68797
-21674 -49186
99581 -52283
23663 68741
66998 61701
24125 90892
22383 -30213
-64701 83779
75408 -27284
-52474 99819
79379 -91527
12267 5016
8535 -27136
-93957 99883
36868 28575
9671 83280
96914 -42017
-53537 -55148
63083 97535
-8525 -4641
50376 11399
95275 -33435
27225 -84990
-20072 -38952
-59767 43356
75953 -35362
54140 -36520
6315 67700
-57000 -50063
-66876 -14858
72719 79571
43791 -23126
77838 -91189
22634 11521
19759 -82979
72043 97446
-19566 -68826
63004 33571
84891 -23599
32164 -3882
-48535 -44082
54243 88841
-39085 -21293
-4804 75064
19078 20259
-33440 98774
-8942 38708
20820 -48930
40645 34256
-54405 47898
73212 -62058
94314 31243
-39186 -93075
-6512 -86319
-37207 84987
10562 66171
-79679 50928
-38930 -42955
-38836 57626
-45234 -7624
10454 -4155
-42271 -92119
89906 36684
-9888 -67680
-54367 -21497
76069 35931
48209 63808
-63851 -21577
-13144 -59364
34759 -61504
9205 5775
51565 -91350
-94670 -21738
-83302 -41974
15370 -30879
-34976 47176
37625 52252
-95477 14083
-56702 -68555
99848 87329
54643 20962
-40834 24700
-17542 -40305
49418 -46341
-28177 -4759
54287 54214
-15882 63435
29322 76022
-84194 -57131
-5403 83825
-94404 -75071
-8627 -40951
-67031 -41293
-4795 -72900
67247 -88283
-72268 57949
-91307 -72871
-20558 15789
-97894 20735
66353 -82930
7746 11195
-67405 74642
56721 95746
-45523 50460
54725 2181
-53922 16263
-40680 89431
99185 17130
54280 -17449
-32189 -50677
-83789 36394
-50172 -67542
-29151 -38478
-54662 -74418
-68488 -98566
21491 60226
-79810 26937
17168 -97617
-55698 -85660
-59344 -19482
24583 68509
97232 28133
78414 -39953
-28121 97374
-99133 61747
-92799 -66496
-18866 -53141
-24299 12448
-42574 76869
32921 15517
16940 -26518
41646 -88906
68014 -57168
77176 42879
3238 26727
98440 -28508
-65685 -62460
38965 36057
46063 -80490
-92264 -50914
21569 -26848
-45532 -67813
-16777 -95616
36309 32749
-88773 50456
57108 -24174
-41881 28192
72247 -20352
-77541 -7672
-1260 -4436
-63479 -49863
-601 71189
38041 -50933
1196 -96941
42565 29170
28439 -99239
-89545 -18889
-65208 -83447
10950 64861
26559 75115
-76624 92429
96777 13101
-41713 75550
48693 89927
-14697 -18383
28853 5395
21537 -18916
45060 -57045
-99097 53287
-3717 29355
72643 10383
-17877 51183
7446 -6656
-98082 23672
-53230 -86507
68397 -66742
-39092 6184
90513 73953
-74093 2050
-5383 -83835
-6506 60167
91439 -88765
-39446 11463
-1826 -76907
-71810 44227
-56075 17302
17333 -50939
-37488 -97386
-14789 -96530
51657 -27321
-93354 -95309
-53871 -79724
41016 94074
95563 61746
-49483 -85742
75966 60934
2859 -51066
-46721 74505
83831 -25658
97657 -55244
-60720 -9828
-78774 19051
80690 -53097
-1826 49594
-80091 76690
-23823 -91287
-7598 52634
73076 27674
66925 56976
45197 -64418
14343 -3280
66196 35375
11431 39989
-33435 70083
39505 80675
-64444 -78700
-12143 4584
-14937 43123
71650 -77602
26335 9838
18095 81406
7427 7264
-75459 40276
74193 913
65807 -72483
31808 -90220
-52429 7796
-26493 -6
30918 -17800
-21534 28354
46762 -87592
-62644 -39970
-8586 68336
63743 2287
-75783 52572
76938 94999
48729 -85269
28670 2687
76912 -8360
-79397 -33518
60820 2638
-16523 -9233
25577 -40200
56261 -11925
42946 66565
-73602 -62358
36001 -69950
-60551 88658
49189 -34888
-5184 64735
INVERSION_2D
CLOSEST_2D
672
-75544 74825
34340 27776
11178 -76933
78956 -35439
45229 -62662
20552 -3001
-11124 -81310
59069 17813
47194 -4653
41353 44490
-83401 26584
6368 29598
-2720 55813
64785 -72643
-14098 -16496
-93166 66607
61105 -8322
-24372 -45897
-54379 53894
-17786 77822
4021 -66707
-46876 -92939
-14254 -97728
34869 75188
70099 34565
-61258 15589
-66160 83190
53531 -72398
50775 28715
-65816 -16326
23905 17100
50734 -84089
-62733 -81072
44921 -13979
-39452 14866
95993 -72435
-60191 8900
20190 -60371
-92715 -48555
-67999 -25698
37596 30327
-67938 -64659
63701 -85864
-87451 29079
-52334 -7270
28287 13839
-72967 -56887
-19884 -77465
-45724 -96985
58834 -78421
82168 32484
-70352 -10970
-44197 2229
-8582 3044
1466 88073
97668 45581
-38513 67531
-71586 -71511
-43944 -34541
-54898 -65730
9094 -96367
-71857 -8302
-66453 -40200
-10622 18300
-54429 -87265
23331 41138
29777 -84780
-25392 36167
1721 -36727
-68876 19539
82855 -34066
-48254 -11779
1400 99508
-2333 56852
-24296 -52813
-20420 41975
49602 41616
63245 46333
16269 74832
16142 -74783
99950 32922
-21591 97740
25427 -82187
65575 86487
60343 95014
-43732 -75278
10407 70559
51234 86561
-79023 90820
65468 87387
34388 -34171
58713 22030
36281 44363
52179 -90210
-80681 -59945
82680 14998
-3724 77320
6052 -31799
-93099 -79042
62072 61259
-56774 -43382
-38691 -44774
52302 -37058
55681 -43237
-39288 8611
-99728 14220
17125 -17034
86723 -60510
84220 87372
68523 -26078
30148 -99222
-29876 -62690
-41476 15874
-81570 -17693
-94906 18238
-65465 44056
64239 76370
-44428 40505
5469 63205
66931 -94520
-77656 -29463
-88625 38502
-27287 12255
4208 -5840
18644 -35601
-69972 -31739
96702 -82889
-95 -54155
-57033 -46627
83399 -80684
54477 -60615
83006 -34112
-25498 -62522
68867 49783
46847 -46740
-76001 -23800
60867 52382
49788 83974
75065 -96843
-83158 86745
-40132 69103
14856 -42472
19391 98393
5591 56759
-87192 45577
26569 -88499
-90906 553
-67785 -66391
18951 -89701
-7141 23854
-57993 -84799
27041 -26851
85557 -60302
-1954 68020
-26337 8145
-31669 72064
54441 35159
-43059 -47087
16428 -45520
-14354 -25299
-78435 96726
97566 76220
-41180 -41508
46623 -6754
89171 -13790
42517 83037
-11781 91892
52458 -91416
-52479 -54940
18778 41311
-23876 -31205
44462 -92275
-70558 -93227
73861 615
-46196 1068
85425 -82095
50267 74050
-16318 79842
75035 -61544
9800 2677
-74682 -37738
90029 -87852
-31976 63237
-58119 -64057
98126 84937
-15219 12590
-19447 83520
-61498 -16027
-4875 -28852
-14455 14152
9464 8412
-6123 -41588
-62622 57795
-56080 75931
27600 78221
-3420 -88465
93754 -73315
-66163 -44305
92345 -91751
-1900 -65250
-66211 56213
60214 1105
-16483 53794
-84598 -24536
-39280 -9380
82774 45502
65304 -22915
-95094 -28890
96181 -48039
42484 43643
17692 -9365
87637 97552
451 -62586
-90001 -48864
48442 -72575
-57928 97275
-44597 5469
66799 85190
66679 48291
-98217 -94984
24815 -29815
-10059 -95886
95799 -35757
-19312 -41453
-34074 84592
44369 69701
-42200 8298
70901 -59907
-84286 -93808
-26737 -68903
-10537 14954
22955 58050
80994 -18111
-71178 22931
-71361 60951
81894 74868
75239 98417
-24470 -17745
-96526 1463
-32064 -2823
99022 93251
-84992 -22703
-84578 -51891
4986 -73189
25507 67026
-81045 -32908
-11010 -45561
19108 19413
41211 15041
-41307 46099
-29018 29993
-9270 66544
15417 -65349
-13501 33594
-82375 -57913
16926 67358
16901 -4619
-46508 23594
99072 17202
5710 25361
-94034 49521
51754 -94641
-77552 -30966
-89192 -91448
74634 87546
20107 -9996
-20774 78779
49945 49512
-66957 -57162
66063 25173
-96896 -81754
97697 72355
86757 34584
-94173 -13997
34342 18333
41931 -79360
38954 -89344
87828 86985
-6206 29969
48618 -29964
-31882 -73993
49534 -78980
19221 -5225
-22381 86750
69914 -2290
-10297 -1955
76283 61351
-43608 26302
-31019 20479
13314 28762
9027 -74424
69612 -53384
67435 47289
75163 -7668
20448 12164
-32613 54888
9627 -16257
-89822 -24036
-7472 65452
-83564 -36545
71240 90907
74877 -88421
-56460 22943
-87960 -41476
-16355 34456
31997 -60178
83016 -58960
-99733 -59224
40501 57260
92003 56696
-87778 -82679
13628 -27336
42108 22964
28469 -85985
87850 39235
-83052 2651
40965 -62124
21450 37863
26553 -41708
53058 58580
60000 -81643
-11323 61399
37270 -2248
-2938 -7610
28562 49564
23080 27879
83632 -9622
-13297 43771
-41481 -30798
10284 -67549
-42127 13527
46683 -49801
-31026 -9191
39924 -57957
67088 -97266
21511 -40029
-45457 -17115
-84829 -82082
-8954 -7925
-37600 13661
91518 16203
1198 86505
26032 -29618
-43737 -39200
9633 63679
4260 58080
-81121 -76902
95726 -33161
-95532 -7954
15381 -20790
-3299 78994
82950 -9686
-72626 -63077
-275 -42056
-6558 42090
35475 -45664
369 -49300
59630 41
24788 -90770
-41263 -53490
83563 -94878
-96728 31327
54689 61324
81054 -8146
-54966 -13791
-70834 175
27459 -75145
62013 -43997
29667 88878
70673 -8354
8658 -42597
-38017 -4653
28167 -87785
3942 65166
33954 -24099
58150 29746
44518 -54714
-81628 85559
