CREATE_2D
19
-51515 -17925 69464 -55491 20800 5092 -90952 95658 638 95690 -40568 -49301 77685 -22546 61253 1029 -79653 -4853 -53424 
52229 51558 -23316 36884 78957 -46612 -83379 57096 22991 -24499 -49824 -60500 -58050 -14043 -59669 -69228 44818 -95018 -98315 
-8744 88405 19913 -80463 -98657 -48405 58981 -47116 6586 63226 51468 -1280 -34095 16830 -78160 13499 -22685 -57615 -32816 
-58214 -6761 -54622 23338 -14004 33221 78831 -64307 42178 17616 -33299 -68468 57139 97849 -32147 88708 42684 89868 -43335 
-44383 -26724 -8838 -84810 -10419 -35400 -62500 53022 55594 -60623 -46525 96835 7648 -89446 -89415 63658 -62533 -62856 67383 
-60583 -27612 -16538 -5635 12381 -80279 -80558 -56449 -68599 12394 88490 67116 44413 27620 98393 -62337 -83441 94765 74365 
-27535 -7959 -24731 64719 -83511 34438 -99677 31016 -42282 -12698 7876 81335 -53944 70279 -94547 -34870 -8321 -9343 6336 
-86937 -78747 -994 2031 47753 -45533 -78022 23912 -9949 -70741 55855 55079 40226 -88196 91774 -6434 35640 13536 -12532 
-88129 44828 -1579 -43391 76559 77300 44092 46423 -52332 96640 39355 -37891 -58936 39527 -31695 56323 -89524 87824 -30611 
48505 21209 20671 -17685 -12397 -49789 -38650 -12913 -88703 71452 89976 -69639 -49734 61801 -14735 18754 48355 -55126 -54725 
-306 48728 -40213 -89843 -58856 79161 985 -82417 -74057 -17591 62458 -98047 37897 -59036 -68013 22249 9661 50002 17451 
21635 -79335 82362 32913 93801 40298 -43521 -94090 -92437 -15677 75873 67240 27068 -62203 93942 -23735 -91862 -68247 -37622 
-87042 94399 -61613 15641 -24229 49882 -21588 -47923 10320 -80354 36820 -51228 -41495 12158 81966 -2538 -86261 -90386 -18210 
-13087 80758 -5525 45807 -22724 81012 11694 63906 24545 -61032 -48338 67347 -73789 61108 -8470 -10127 63759 88377 97183 
99408 -57926 96606 448 34819 -3814 24687 3670 -2926 58265 70238 14478 63981 55972 -60187 -74531 -80965 43166 -99916 
86065 65215 95892 -18904 9808 68891 18762 -95357 -65090 -71225 78916 81675 12682 38336 -97589 33083 39963 71507 -36564 
-95475 -23426 -60221 89824 74793 52064 81003 -89837 1666 92551 7134 -73307 -98871 -259 -95958 -68704 78861 -69088 46529 
97752 -38327 64625 10804 30350 59801 97069 10467 -22819 39082 -84505 26495 -42939 -45563 -39804 37502 -39242 -11645 31699 
-14525 54458 71487 78979 59149 -57628 32832 3734 40592 -17608 -90048 -11504 -39378 -39421 -54698 16907 2388 50684 90264 
INVERSION_2D
SORT_2D ascending
INVERSION_2D
INVERSION_2D
INVERSION_2D
INVERSION_2D
SORT_2D descending
INVERSION_2D
SORT_2D ascending
CLOSEST_2D
163
-62215 11857
-1216 -29556
-68115 -2491
3584 87136
-50327 60371
907 74325
59689 11738
-44211 -63757
-1246 47080
94114 -23053
35959 27725
-20040 58360
-76796 -34735
-25873 -99888
90689 -9148
20472 -94220
92575 28649
-90992 -2203
-9654 85646
-74721 -6446
84335 -13745
19544 -14277
-41515 48022
-85399 -65922
60077 -53099
68111 2423
-48378 82887
7192 33681
-50121 81288
87490 -84165
-71266 78619
53295 94907
-88989 -63425
-35392 18678
-65877 -37831
17911 42230
4890 28193
-10229 65183
-57731 24019
-32468 -85131
42629 -77276
47245 67788
12720 62710
-93868 -94667
-1036 -2086
-80836 -9553
75239 7139
-5634 -76065
-86808 -39874
93646 -80780
42230 -39936
23562 43325
-23785 99452
-53374 11280
35909 52094
-33395 -27057
-95526 64053
71156 86370
-27310 52021
-31741 63031
-75413 -38714
-97056 26022
-64341 63318
-96825 42650
3102 87320
8481 99136
61243 -3509
62409 53259
-63083 -70428
92605 76765
-96128 11507
-70736 23267
81187 76953
-35833 91936
41409 79246
-52492 -48369
86533 19448
33969 -93448
-6204 -97163
22814 -75095
48453 78324
-37236 58840
17781 27802
-36170 16644
3892 -76554
87547 56812
-72568 -10403
68573 72937
-81174 48028
95797 30492
5731 67539
7120 -13219
-37865 11404
60557 -15213
-33434 -16424
-955 4765
-10305 24744
36019 15567
86064 97341
-78489 -29824
-96008 82309
-66097 -85802
20063 -71961
-70649 -25327
48187 49781
89499 -38955
-97715 -10196
-55856 40176
37043 -99312
-82072 42664
-78082 18843
1812 12216
-37553 78008
6582 -72044
-73780 30529
-91109 -71165
39862 39512
-44982 30096
68356 -41123
-859 86595
34315 -19977
24606 10670
-54044 73221
2947 -80780
30061 13250
93349 -55730
-28292 -89506
-69784 91236
-3615 -17551
60874 -76716
-80076 52918
35421 -72342
-86595 -430
53248 -50450
43489 98382
27513 -46480
26003 -31721
5653 7415
-39483 -96490
-25261 -24532
15988 -78335
-38792 53792
-17646 28917
41451 19134
16654 -13008
-61411 8337
-93138 -28356
-22704 48980
73497 33157
-86341 -80202
37409 -76260
-60824 95911
89609 94923
-22046 92006
42440 13584
-59553 26194
22912 79109
-68602 56455
86341 -1367
48819 37536
-58252 17371
30155 44382
91528 96646
DISPLAY_2D
CLOSEST_2D
3212
18876 32639
4797 -6600
-12891 85281
-75348 6105
-43604 -92258
60110 -65624
-70570 97590
-3734 -82840
-17988 91391
-20666 -14084
-90084 -24767
