CREATE_2D
18
-91343 48116 -54239 83442 -99252 -49138 53672 -59689 -30218 87516 97361 57517 14498 33061 -3954 77100 25581 9620 
71923 -62190 -40433 -55806 -61495 -68682 71829 989 -47114 -21140 -77772 79394 35569 50525 1982 44084 -20352 66701 
-1057 -89091 -76594 -40166 19634 81984 55399 61839 -80460 -11700 73435 -8026 -69157 2952 25606 88756 -69309 69701 
-17444 85682 50403 61754 -20375 -14045 -85591 -58111 -66161 71308 28424 17009 -23745 -25829 64687 63567 -51638 63249 
97294 -69041 77734 -44965 72024 9659 -97098 75781 -10736 57334 79547 94083 -76910 8824 7084 89381 57090 -71871 
87542 61849 -37304 -83594 -39188 27449 -85321 84339 -31586 85254 24377 23815 -41275 81511 -32268 33319 20979 -38474 
91133 -81175 68860 -26643 -90441 86559 -38168 25930 99610 -25528 -47958 20348 -10734 40009 -73244 70371 69981 -67366 
89574 59545 -68562 -22013 -80162 -91560 20704 45761 -82870 -87676 77166 -73044 -27789 -1430 -50793 -39732 89754 8191 
-18469 -54589 -35106 -18296 -93487 77795 -43786 -86507 -49805 73045 67719 54336 27080 -35535 -52858 -97851 -61179 -33629 
-5338 -1175 59832 -57127 -24300 26140 -70173 -38650 -535 -86466 61203 87261 62317 90148 68829 -9339 -45513 76532 
84064 97665 47325 81324 -35826 -69525 51006 80310 8685 18539 -9264 -52827 -89296 -84345 1156 -94787 -57349 25237 
99924 50418 57947 -62602 -33504 -47003 58965 94460 -65140 53891 -8674 82221 -29766 -51168 -48520 59531 37854 29048 
-27348 -66549 98535 -48318 65005 14241 14078 -34467 28088 92498 -82426 94803 93092 29247 -54260 -99499 31564 -12403 
8451 -965 32608 -46607 -7815 -2662 26326 71658 92915 -77469 91327 -17134 22963 98538 39267 -84005 -156 -57016 
-25282 -33293 45912 18715 -6506 -71725 -43723 -76499 2068 9886 37433 42656 61485 86021 -5535 5845 24370 -45775 
-21637 -35734 -54106 64210 59255 -20744 -54814 -15768 78487 95846 59155 -6356 -52870 -65556 44293 35756 -6449 73283 
-46121 57290 67808 53265 -10699 -77858 64260 91463 -60100 38116 -77527 -68758 22074 -56007 -27212 26674 -31573 42109 
28733 -42257 9243 -6330 -193 -71514 -4903 55549 63772 -73311 95974 -11949 -78023 -38605 51845 -75037 -30328 -7345 
SORT_2D ascending
SORT_2D ascending
CLOSEST_2D
7628
93569 40062
-9259 -58130
81857 5809
46112 53113
-72333 -33845
45835 -13869
-18737 -31248
-35502 -57996
-61768 69075
5868 -29315
-81241 65968
42054 -44994
-82915 -102
52887 -2340
-19593 -12654
65040 -37732
-60411 -87310
17402 -10822
86275 54885
-19574 -77598
-54082 -77873
34907 62303
-14693 19791
91445 22250
-60532 44962
41421 29068
6656 -9632
87437 -9822
-39557 3327
82224 1147
13903 71070
47383 7829
-6770 69269
18931 -79830
-99923 -27677
67474 41647
-25714 -43645
30571 50700
-32840 89003
-5351 53236
18571 -19268
-89390 -22934
35868 -41972
10271 80906
-27956 4374
22288 50661
-69990 10349
49068 -66947
-72788 -39864
-34316 -20691
64417 45460
617 23174
-77274 64687
93837 86094
17729 -6200
35445 66719
2689 -24389
-36496 11934
-1650 -68227
-16291 -85833
21129 -93622
8319 37099
72926 -86823
46388 28904
-13604 83991
-37792 -97937
-11836 -52026
-95787 40237
-98833 -11223
44624 -45630
62949 64080
-94642 -64041
-56114 1068
4795 28332
84920 -51852
13215 -67789
-71775 -45052
-73840 -3327
-82726 -63430
47242 60272
-29532 64158
20424 57836
69302 -3386
18855 -20064
-71042 37055
60959 20047
-89476 -84063
-35992 -40506
-18994 -49623
-96637 56160
-28214 -65651
32957 78607
-4737 59710
58242 70188
91573 33677
2574 -50002
5568 91600
-44780 -16919
-58792 59723
15497 -48618
76037 8857
-6192 31734
-47151 46124
-75594 63970
47547 -32871
-32868 -4513
-48261 35111
14525 27457
-34518 -55190
-84839 -36623
-73032 71523
58187 -35036
55237 -46127
21344 -9554
-70627 86946
-43365 -55488
-92653 -50021
-81345 49940
46031 11693
-53030 -49372
-37230 30604
90464 -96205
81667 16602
7628 -81486
-17482 -5964
59728 -14725
-45482 61006
60740 -90701
-3533 23097
-98830 6931
61289 99048
-15142 -65745
-85592 -19321
52729 -61598
19601 98283
26603 25115
88659 66595
-52657 77164
70231 25973
-30885 -92865
94372 36752
-38278 45639
2058 -31692
-63509 93038
99028 92168
29428 -12788
3596 -60186
35208 42942
-75741 -4394
-43855 -86789
-35540 -37515
-40101 28402
-52891 -26392
67926 -95820
-30825 -72500
-84494 51415
-37286 -66034
-92660 55795
-67535 34992
-10616 7880
-87993 37494
73991 78075
-92910 -15574
62487 78683
-87472 36033
-61605 -73710
20874 -42141
70820 -60246
-72119 63801
-23321 -80578
81920 -68768
-2933 -28058
87417 54211
36992 32241
-48315 -37819
-73262 -98789
56142 -7765
-40493 89956
64604 58382
92254 69623
13130 35829
-72400 -74069
10835 42594
-72696 1481
-57723 26126
8064 51321
13134 5970
94185 46485
-19259 -83491
-12977 80339
20020 34234
-48980 -70101
16873 26722
57263 -287
43992 -35799
-77287 81773
-87591 -59280
-64788 83440
8951 -85333
-64904 -13009
94440 -38679
86890 19488
52826 38303
-46009 22576
-48103 -22806
51535 2551
70565 -79165
27373 -24994
-99257 -11539
35212 97763
-42518 -7328
-42441 -24942
91517 -97510
-3852 10210
-81608 18389
36995 17291
85621 63438
51859 -49218
-20929 -99427
97659 10523
-70813 -37382
-2433 79322
-83500 -94629
84801 -86100
98316 -33372
48422 -95047
75615 -32694
-34000 29820
20805 -80309
30304 90648
-80929 81595
-33255 -21619
-91217 78741
76073 -54792
-61988 -9242
28548 58960
53226 45321
63049 -20357
-17467 16078
-23734 -29183
70619 72541
-58612 -50974
44033 89535
5349 95289
75656 47767
-10759 -56782
84920 -78415
160 -84102
51867 4313
-7060 38188
42996 -10008
-66618 -85624
69925 -62677
16630 -4642
97228 -17723
-46192 -87154
-87895 -92355
39850 55284
76337 62902
16580 9545
-58825 -99298
78538 75174
55813 -21492
36664 -97997
-49076 -23195
-92735 2387
8217 26221
-33678 93318
83626 5295
-31936 -88454
-52568 4933
50363 47033
-70323 -263
-50964 86923
24057 -90311
-4951 -38097
-89978 55098
31155 -30920
-36519 36869
-11575 -19977
60743 30824
-27721 -86748
18928 60309
-41940 -1264
-34748 4389
-12037 -88875
-85517 88515
12801 64836
-23447 17932
-33204 54111
-33109 -83948
89293 -4179
-42566 12826
9038 -64468
87607 -38049
-19073 66364
-77385 36862
-30283 55274
77702 -44601
-43477 87009
81659 -74682
-47340 58836
-59068 50192
-26123 -38357
95399 4780
65452 85700
-52273 -4123
-50107 72985
11635 -76108
32260 -80098
97731 -42373
31662 82705
-26777 92505
-5220 65124
-78507 -71522
39546 -69706
43455 -21944
-83369 -41185
-24587 4447
-52324 -57074
-44861 -26214
-21349 -9755
50057 25693
-42074 50170
1197 8130
11212 16174
96447 2047
-85647 -32117
-76211 -11245
-50061 66962
-8073 99449
87136 -74656
27726 63260
49000 8779
89296 -18454
-65185 93416
-33541 -39245
76044 -3009
32592 15166
84904 88099
-13349 -95645
39083 -13869
61541 53315
34068 82573
-58838 -29800
-58160 24024
77 -13848
63419 84612
-93201 26884
-49727 -82946
73341 -25515
59538 -85712
-99772 35043
-4507 79819
95502 74401
-49353 51413
-17090 96432
80998 -63010
-61083 -63765
-28595 -72813
41832 -87780
39281 14409
-58182 16130
63213 73583
-68143 -43841
46175 92621
74325 42624
-69739 56503
56300 18798
14536 -68106
2838 -1187
-96560 -43823
44540 76877
-21092 -76241
47004 -86288
-50347 52645
59882 -73767
-94168 -50246
-99437 50748
-26127 -1187
41436 -19632
-75140 -95813
-83648 86989
-3474 -70194
-37894 -81273
-7015 18818
97835 44236
-11757 -61220
-55469 -32322
54604 68996
16915 64609
11913 94908
20807 -94668
-53780 25453
-12360 10038
52483 -47418
98460 -58449
66070 99289
18241 -9682
-84659 -12652
61710 88854
-47472 -31522
57469 89737
-36418 -38005
41352 30345
-75895 75032
70400 2112
21168 63251
2410 -13980
52540 -71304
38768 -35052
-69186 -98786
-45408 90353
-83710 7578
16915 71302
19250 81035
-71786 46405
50173 27964
-32469 32958
20621 57908
98966 75019
64916 12754
70129 -28362
-97468 -53859
90339 32860
-22758 50500
71604 63708
-32093 66272
-21539 -38445
-67263 -54839
-16376 -20320
-79787 -13390
-61498 -48893
-45205 95378
97402 -78698
-29896 -49139
-50391 -88809
92372 -90053
73355 48733
-47190 -1550
-38959 -26700
-32149 -34216
66893 -60853
76286 -30388
-58875 13839
-97334 -10402
-42604 -85989
-864 -43645
64892 -32491
56874 692
79596 26639
-63196 31227
30621 -6241
-62538 74092
88879 -57684
5349 91667
-73387 -51657
35366 28843
-12757 -69609
-12294 68071
-55204 -60868
18183 1751
-27685 -48805
83612 16297
29068 -67937
-99295 94401
66578 -51604
11040 -49232
-26687 -81692
83834 -13028
-42803 44770
3123 85376
-30794 -64315
-73768 -5208
16134 -65567
-98857 18705
32536 -52779
-24770 -69185
